#OK
#SQL= select SH.GalaxyID, SH.Redshift as z, SH.SubGroupNumber, SH.CentreOfPotential_x, SH.CentreOfPotential_y, SH.CentreOfPotential_z,SH.Image_Face as face FROM RecalL0025N0752_Subhalo as SH , RecalL0025N0752_Subhalo as REF WHERE REF.GalaxyID=917940 and ((SH.SnapNum > REF.SnapNum and REF.GalaxyID between SH.GalaxyID and SH.TopLeafID ) or (SH.SnapNum <= REF.SnapNum and SH.GalaxyID between REF.GalaxyID and REF.TopLeafID )) ORDER BY SH.Redshift
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 1732 millisec
#COLUMN 1 name=GalaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=SubGroupNumber JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 4 name=CentreOfPotential_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=CentreOfPotential_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=CentreOfPotential_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=face JDBC_TYPE=-9 JDBC_TYPENAME=nvarchar
GalaxyID,z,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,face
917940,2.220446E-16,0,6.020908,12.699578,9.927425,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_917940.png'>
917941,0.10063854,0,6.0037036,12.485194,9.862531,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_917941.png'>
917942,0.18270987,0,5.959933,12.331177,9.818768,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_917942.png'>
917943,0.27090108,0,5.9185433,12.157224,9.762431,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_917943.png'>
917944,0.36566857,0,5.8843603,11.983705,9.712567,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_917944.png'>
917945,0.5031073,0,5.8449655,11.770262,9.643239,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_917945.png'>
917946,0.6151898,0,5.8237805,11.618409,9.590619,
917947,0.7356296,0,5.8143873,11.4697695,9.542964,
917948,0.86505055,0,5.815551,11.33765,9.502515,
917949,1.0041217,0,5.8237147,11.226859,9.463589,
917950,1.2593315,0,5.8458867,11.060998,9.40184,
917951,1.4867073,0,5.890823,10.941861,9.313724,
917952,1.7369658,0,5.916364,10.852468,9.238168,
917953,2.0124102,0,5.922774,10.819567,9.186783,
917954,2.237037,0,5.893256,10.816661,9.171433,
917955,2.4784133,0,5.877152,10.8239355,9.135257,
917956,3.0165045,0,5.8650584,10.790072,9.037973,
917957,3.5279765,0,5.85468,10.78224,8.997587,
917958,3.9836636,0,5.8491216,10.753646,8.97226,
917959,4.4852138,0,5.8627005,10.712587,8.967094,
917960,5.0372367,0,5.869138,10.681112,8.959732,
917961,5.4874153,0,5.8702903,10.695164,8.952825,
917962,5.9711623,0,5.8490305,10.663685,8.959099,
917963,7.0495663,0,5.8760123,10.600624,8.984555,
917964,8.074616,0,5.9065704,10.571016,8.991368,
917965,8.987875,0,5.9345226,10.555143,9.001396,
917966,9.993033,1,5.96611,10.523503,9.003975,
917967,15.132311,0,6.0184784,10.497138,9.002498,
